pathway	description	HD1	HD10	HD11	HD12	HD13	HD14	HD15	HD2	HD3	HD4	HD5	HD6	HD7	HD8	HD9	MD1	MD10	MD11	MD12	MD13	MD14	MD15	MD2	MD3	MD4	MD5	MD6	MD7	MD8	MD9	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9
P441-PWY	superpathway of N-acetylneuraminate degradation	19304.471999999998	22451.395	22315.7658	22339.7149	9239.9318	20490.7135	12637.6974	22504.5312	11289.6013	20692.3361	20611.4453	21991.5434	21629.2514	10691.7454	19617.6643	24041.4855	20271.8492	23298.9833	27188.4491	34458.2715	22754.0086	30591.9231	17722.3612	18002.1899	20383.9545	21496.6834	16741.177	20616.8701	13827.9647	13337.7433	17500.5102	23741.6654	14738.8571	26791.7304	17656.9636	25048.1613	21432.7785	24147.6573	20976.96	25629.2252	21264.1515	21038.254	29378.4476	32122.4507	27063.177000000003
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	471.0202	495.3485	1269.2722	821.5526	391.5656	392.0694	276.3536	295.7029	117.9148	521.9908	233.7933	532.7090000000001	984.8482	95.9733	898.2812	261.6831	635.1689	4467.064	1192.3901	13984.9094	4562.2392	11910.9094	123.9505	291.6817	271.7223	243.7784	740.722	1891.6403	423.4282	300.8757	584.4753	385.5363	815.693	589.6352	1296.3919	485.1083	791.6878	1084.5603	632.0634	755.2128	730.1785	288.6783	664.0836	1044.7026	443.3246
P562-PWY	myo-inositol degradation I	310.02099999999996	194.0185	311.4513	356.4277	325.9382	232.079	387.1665	635.3735	107.3067	218.6708	325.6914	164.1905	286.2958	246.6111	240.6786	291.086	227.3296	214.2781	165.8071	1297.1422	346.2227	634.3069	305.1852	349.103	336.1887	334.6815	198.0461	205.6633	158.5634	213.3006	179.3989	533.0198	192.8583	252.5004	291.8103	315.9807	217.9157	223.8217	95.7236	377.1429	336.6241	272.7325	346.7489	163.9428	545.234
PANTO-PWY	phosphopantothenate biosynthesis I	22529.453999999998	16886.6943	14869.6845	20260.2864	12597.3744	18219.1446	13804.6867	14545.2587	17126.0011	17768.4951	16409.0396	19213.0744	15377.2127	13519.7346	16974.9508	22662.8602	18592.0065	17413.6513	15182.2761	45254.9824	15219.178	43248.5393	17320.929	17814.7843	19398.8478	16132.0143	22816.0736	21781.8483	16590.2387	12982.6369	17690.7814	20874.4706	26113.0767	23089.6948	31128.2676	24322.2997	21900.8181	16718.4009	21467.0305	17617.9953	19561.3017	25263.3408	22713.315	23114.0262	24162.4372
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	25945.1155	20218.0463	19099.9668	24446.9743	16536.302	22463.5509	17814.218	18233.2095	20029.4122	21323.2797	20195.3934	22482.5676	18883.8559	17404.7931	20923.8356	25738.6669	22129.176	21243.2955	19620.1734	44912.3084	19193.8977	42238.4612	21436.7258	21412.8584	22918.5008	19279.1784	25457.0709	25656.0551	20590.1932	16818.6244	20715.8381	24899.4371	24607.7387	26145.2803	32787.3558	25944.7775	25526.1125	20186.0802	24329.8726	21402.601000000002	22579.9783	26664.2956	25232.6029	22832.1198	25268.619
PENTOSE-P-PWY	pentose phosphate pathway	8676.541	11250.5818	12914.1338	12630.2294	10755.4873	9722.796999999999	9070.1201	7689.2345	11162.303999999998	14111.0095	7497.2454	12016.5624	12740.6244	11823.71	11881.3986	9600.5231	10815.3262	20511.9394	11163.5789	47747.7009	18786.5409	46489.553	8655.6308	10087.8202	12252.4059	8574.5598	14333.69	13881.8586	6938.6718	14101.6635	13471.5975	10638.4424	11625.014	11172.1279	12024.5157	11748.3171	11649.8927	18080.0556	13185.7646	9583.7122	13912.78	8412.452	13092.9747	16151.0361	10349.4964
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	41893.1344	45669.9248	52907.1834	46245.2494	53541.8381	47861.6824	50457.4171	47841.3951	30709.7643	40215.3561	44786.0187	40212.605	49337.7914	52720.1557	48396.7768	37877.4971	42312.3582	42705.8876	56249.9766	46863.7484	49617.0543	43368.1556	49141.0095	44621.3669	45655.3957	44547.5803	35547.6913	45134.7588	47816.4466	51707.3045	41238.5431	51039.7662	46139.8935	45473.6019	52478.428	45009.2674	44558.7141	45171.6491	39550.3782	51477.6756	46941.5243	45876.5821	42319.9475	44172.3419	49427.2284
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	47397.8322	49953.1739	60106.1856	50662.3131	61957.346	53536.8471	57831.1953	53802.3406	33121.087	44029.5748	50442.4334	42131.7261	55286.3062	60645.0311	54384.261	41939.8368	45795.4879	45986.4327	64064.0361	45325.8563	56071.5178	42635.8194	55607.6348	49985.5295	50256.8626	49082.2197	36566.5337	48056.4383	54692.5194	59168.5723	44632.3008	59471.087999999996	49510.8896	48400.7968	58706.5426	49291.5501	47376.052	48551.3101	42094.312999999995	57949.4604	51246.1012	53227.7441	48253.5497	47603.7487	55890.6535
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	815.1683	621.3264	1509.9353	1162.1573	455.8535	627.0794	501.0239	683.1103	510.9936	865.9814	485.9365	784.0633	1233.5538	160.6873	1164.2124	904.5634	720.6261	2304.8162	2034.4624	380.3457	3046.6581	274.7745	224.4216	416.36699999999996	421.647	393.9772	864.2063	654.8255	210.1821	294.9376	3034.6022	1471.8220000000001	1331.5044	1452.6806	2058.2355	928.1519	1432.9853	4743.8044	2133.1445	1949.2698	3717.1363	1243.9338	2319.4431	3716.0086	2059.9817
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	1149.6138	1262.0421	1636.1025	1269.5356	964.8338	1343.5303	892.2517	1334.3079	818.2058	1079.5888	1321.2316	868.8882	1283.0278	1030.887	1210.7302	865.7858	999.9411	4559.4412	2249.8901	8853.1776	4973.1056	9543.048	1083.7792	1151.9672	1396.7951	1212.8831	1086.5549	2141.6743	698.0799	602.3806	4212.1264	1509.1873	2805.914	1939.9844	3238.2428	952.3755	1883.9757	7904.7461	2198.4677	2022.7469	4395.6159	1278.474	3571.4756	8211.2162	2135.4213
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	21554.5603	16544.2108	15454.7365	23071.2038	11010.8565	18794.1872	12321.8501	15809.7475	18352.0742	17717.24	20527.2932	21210.8694	13292.6343	10944.8423	15834.1354	20497.5287	17565.2826	19563.5203	15967.6756	44125.7734	12055.1069	41282.5502	13636.29	14659.4479	15933.7608	14780.4506	20635.7539	22830.8233	12031.491000000002	9998.1692	18148.8425	15248.2058	19539.887	21661.8228	17995.811999999998	17769.0475	23336.1869	16262.2262	20466.0463	14801.6167	14262.2753	19616.4317	20051.0504	19478.0138	19739.6921
PPGPPMET-PWY	ppGpp biosynthesis	17.4973	14.9978	11.649000000000001	18.3219	9.9993	178.0646	149.827	41.6598	20.8184	23.3192	14.1733	25.8178	16.6728	18.3224	34.5651	12.498	28.3163	381.8256	526.4367	8738.4275	895.2139	12477.63	11.6488	9.999	16.6471	17.497	42.4744	25.8183	19.172	11.674000000000001	10.8237	5.8247	19.1706	26.6678	10.8238	7.4994	2.4999	7.4993	6.6495	26.2445	16.6471	20.4209	15.8223	19.9945	9.9991
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	44.7787	4.3635	19.1973	11.1989	31.6597	44.2835	36.6576	9.7385	10.8372	5.9997	25.5949	6.3996	20.4561	4.7998	7.0584	10.8375	39.6563	86.8947	83.4515	105.7233	56.2964	3.1999	12.7989	7.6186	42.855	9.2301	30.39	6.3997	10.8379	7.9996	7.6185	9.5994	0.0	13.0895	1.6	36.7878	17.2525	31.9901	17.252	23.2799	14.0471	7.9995	6.3997	25.2565	14.0474
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	5691.7586	10995.3837	11439.8801	16553.9087	5552.9195	13802.2594	7708.4053	7307.3187	8365.1565	7605.9254	5219.6621	9935.7518	5777.5794	3718.0746	8392.8668	8650.8685	7470.0087	12847.3284	9725.0996	29435.7992	10287.4421	31274.6172	4110.5248	4339.5316	6690.0974	4433.5475	12175.2205	13587.9947	2451.8244	2756.3939	8940.5732	6224.8667	8994.1031	10932.6909	9959.6187	6878.0666	12825.3158	9187.2376	9586.5081	7577.6121	7652.7017	9644.2216	7324.8977	11479.5598	9955.7003
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	9478.6545	6452.4422	5418.968000000001	9951.4011	3590.8818	7153.0741	4053.5966	5836.888000000001	8846.3379	7152.5567	8582.779	9376.0454	4594.1528	3702.7796	5924.701999999999	9133.1059	6870.1009	8071.5004	5670.1802	38788.4162	4116.1453	39272.9486	4616.2078	5254.8646	5810.0129	5418.0631	9938.9881	9932.9955	4201.3916	3194.1927	7123.0661	3741.7692	7709.1176	8910.4771	6530.5153	6919.7666	10055.4992	5947.6532	8764.0904	5433.144	4979.2422	4623.3818	5849.9851	6468.5881	6005.4518
PWY-1541	superpathway of taurine degradation	62.2416	18.365	80.5255	87.2494	104.01700000000001	89.1557	87.0357	43.4606	23.543000000000003	22.4176	24.956999999999997	12.3877	43.0503	15.6222	37.4042	13.546	20.8857	88.1933	179.9257	234.1726	112.6765	147.0462	23.4236	15.1919	60.0661	21.9199	59.0548	32.5409	22.570999999999998	17.9996	10.3072	14.1748	64.7857	109.81200000000001	71.5032	114.5874	102.2629	39.2741	22.951999999999998	33.5278	15.1608	33.6637	0.8799	47.5411	18.597
PWY-1622	formaldehyde assimilation I (serine pathway)	38.4627	14.2466	21.4308	31.6434	16.9706	28.5396	9.8622	29.5666	33.4619	23.8947	22.2391	35.6401	12.106	22.7311	14.3371	39.8983	8.2105	19.0357	19.4041	35.8016	28.305	31.8591	21.4687	23.3737	37.8992	31.4203	24.4619	19.1629	28.4114	31.5024	48.1985	19.9219	34.6133	32.3558	34.9855	26.4436	29.4668	53.2524	75.3744	42.6581	51.1187	59.5173	19.9491	37.2628	32.2998
PWY-181	photorespiration	653.1116	467.9562	745.9138	537.0071	978.5613	967.4132	1245.4143	307.494	265.8955	295.9943	137.7537	361.1342	634.8927	417.0917	527.1355	598.2459	73.9112	636.6675	1053.6168	1210.6546	819.3775	524.5341	785.5471	596.3362	582.9649	499.0313	372.5136	768.697	370.2674	527.6283	660.1244	8355.8274	428.4933	718.4533	883.3088	1128.8675	2712.1626	502.2775	617.1704	689.7955	276.0036	13467.5356	11056.3485	7896.5868	8271.1943
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	6979.7836	5118.9756	4657.7727	4730.9342	4346.7043	5474.7892	10174.3691	6962.1659	6367.8648	6300.141	4892.8317	6780.871	6744.5095	6746.6232	4925.8229	6719.8033	5480.5192	5542.9548	5510.4479	650.8573	7502.2427	783.6543	4903.531	6242.4311	9434.907	4645.8028	4983.7198	4768.7351	5287.8066	5866.9492	2925.5507	10160.9214	3636.1476	3017.1859999999997	6291.9427	2704.1729	3574.1689	3810.7961	1994.3014	6325.0882	6385.4302	8325.4874	11128.7799	6750.6625	9483.103000000001
PWY-2941	L-lysine biosynthesis II	5093.3757	3890.3662	4216.5635	3282.5256	2535.1902	3001.0988	2316.9716	4137.8483	5133.3696	3314.1696	4069.2619	3525.3013	3836.52	2219.7346	3661.1413	2154.5473	2559.7188	9784.0891	4523.5686	13137.6475	9905.2483	5081.4275	1384.8959	1941.2121	3194.2315	2779.3546	2405.4166	6006.2692	2105.4532	1647.5927	3451.7857	2831.3347	4853.1531	2736.6015	5378.5323	2400.7437	4389.6366	6218.8275	3736.5895	2806.6244	6114.0888	2683.4919	2892.2077	5538.2437	3163.6369
PWY-2942	L-lysine biosynthesis III	46535.9318	53617.7017	60380.1999	51930.6843	60971.0126	55186.1415	57639.3359	53563.8542	34246.607	45484.6131	48385.4476	46410.9643	59147.253	59754.922999999995	57094.0935	44382.9651	46700.7836	48852.0553	64542.1143	56250.3431	56037.7036	51048.2494	53621.2905	49124.5173	51954.4516	51528.9344	39903.8897	49648.8357	53229.5801	59008.1596	42897.8861	58553.5495	49918.9166	52347.9506	57528.7919	53091.6138	49100.9876	45055.8047	43440.8857	58295.2333	49736.5692	52720.9661	47059.0084	44251.0243	55931.7816
PWY-3001	superpathway of L-isoleucine biosynthesis I	45543.1175	49937.2566	57976.4469	50452.4793	59011.6576	52768.3638	55553.4673	52137.9203	33469.2938	44514.6633	48448.4537	42702.572	54348.6398	58240.0385	53649.6749	41234.7833	45270.1286	46235.535	61299.6268	54811.8051	53445.3838	52709.4567	53352.9797	48520.3309	50084.644	48675.6705	39080.5619	47737.3287	51980.9318	57011.0478	42426.1138	56716.0251	50358.6441	49427.0486	57060.8411	50005.8308	48618.9275	43898.2401	42369.8268	55664.4054	48619.8947	51369.2494	46489.5469	43352.669	54370.199
PWY-3661	glycine betaine degradation I	42.8393	23.8558	0.0	0.0	19.456	194.9934	175.8891	27.9323	0.0	13.097999999999999	41.291000000000004	0.0	0.0	12.4022	23.7885	19.3989	14.6702	229.1432	248.1619	218.5141	286.3926	26.5977	0.0	13.8243	14.668	14.39	0.0	0.0	18.0302	0.0	14.0408	0.0	0.0	14.6167	0.0	0.0	4.9576	14.6861	14.433	4.949	0.0	0.0	0.0	14.5948	27.4942
PWY-3781	aerobic respiration I (cytochrome c)	10244.208	9089.0289	6905.3494	12302.08	4413.9635	12579.9567	6570.3479	2967.2079	349.0094	2326.4169	4718.8183	5975.8807	3465.3848	1792.3016	7084.5784	546.4631	1814.1933	6094.7662	2280.1443	1768.0086	2986.5374	402.8252	319.7835	445.5546	2288.8058	439.3482	11838.0467	4847.4195	1657.6207	1240.2588	1393.5522	1064.6396	2628.5091	2951.6163	3770.8346	2721.8519	4354.276	1569.3286	1999.6217	2067.1721	1271.5963	3761.6791	2894.453	5016.2573	3134.0214
PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	12.5288	0.0	10.3888	8.2653	12.6085	0.0	0.0	0.0	0.0	0.0	0.0	2.2415	4.4834	0.0	0.0	1.4984	0.0	0.0	0.0	0.0	0.0	2.8480000000000003	0.0	1.4985	5.9694	0.0	0.0	4.9752	2.3914	0.0	0.0	0.0	14.5034	17.3317	10.4832	18.5488	18.5854	2.9893	2.9718	0.0	3.0939	0.0	0.0	1.9924	0.0
PWY-4984	urea cycle	587.9767	1993.1634	766.6947	3363.2204	443.8112	2085.9719	881.6516	1389.9374	582.2828	719.8269	862.8854	1725.5004	1260.0012	536.7628	555.3455	845.4196	1501.9588	2089.384	1614.8663	21051.5149	962.1393	19290.8405	696.9448	1380.5869	1546.884	1364.3659	2419.16	1539.9232	502.7811	648.6938	820.0586	5004.0464	1545.7779	1286.5919	980.5766	847.1666	2353.9907	671.5735	495.9926	696.7135	581.0996	8477.9838	6883.9361	5115.4915	4834.0532
PWY-5005	biotin biosynthesis II	300.5805	1222.1253	328.1155	269.3198	341.1629	250.4058	357.63199999999995	167.29	205.3923	179.2218	164.9624	1062.4771	963.6063	333.9748	301.8619	438.274	705.7656	258.3963	310.0641	407.7705	293.4906	288.2807	491.3028	870.8031	1160.5444	728.0149	584.091	886.1097	240.956	309.5986	302.3241	3277.6286	218.2789	356.505	396.0636	505.1693	1129.1273	316.385	305.0748	333.4438	241.7696	4726.8624	4729.2389	3542.1596	3287.2681
PWY-5022	4-aminobutanoate degradation V	1033.5865	1119.4017	691.1089999999999	858.3658	534.6276	850.4791	421.3003	560.8287	221.5243	443.8216	733.2484	1165.4735	1307.1632	287.4947	944.6136	500.8308	903.3983	947.5183	665.7748	8063.5421	864.748	3641.7779	368.624	761.6292	963.2871	835.2772	762.7767	1365.9951	684.6221	389.1102	867.4472	431.3797	668.5904	646.1518	873.9454	569.4412	766.7513	1203.5584	825.0423	940.5099	1032.8421	339.6699	707.3866	697.2172	383.8298
PWY-5028	L-histidine degradation II	0.0	0.0	0.0	0.0	0.0	17.4678	22.3898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.7001	54.5201	69.9178	29.8008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4974	0.0	0.0	0.0	2.4992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5088	L-glutamate degradation VIII (to propanoate)	143.1164	44.3324	95.1367	668.8910000000001	23.2277	165.0578	64.9331	141.0823	75.0734	89.0511	74.4522	83.5008	47.8445	59.6017	81.8304	80.1973	44.2815	95.209	94.2008	38.1929	70.6065	2.2498	59.3861	103.0906	54.4211	84.9129	60.4093	115.5104	155.2626	87.921	66.1669	51.4482	67.2614	71.3986	35.935	16.1016	31.9363	49.1709	52.9898	65.2999	46.9275	47.8672	50.5998	15.8202	61.7301
PWY-5097	L-lysine biosynthesis VI	48593.1053	55278.4144	64067.2784	53875.5561	64931.3773	58461.8782	61948.278	56967.6871	35158.1345	47683.3308	50880.3881	48872.5803	64039.0781	63792.6002	61005.3507	46563.5418	48614.4806	50633.2753	69559.3577	54510.8383	58789.9356	49683.0092	56683.8453	51541.2846	54561.9547	55042.6806	39778.5765	51262.2022	57126.9406	63004.7667	44633.8859	63004.6983	51445.6237	55087.7692	59370.3994	55620.6402	50557.9557	46426.9831	44761.4582	62323.9604	51670.6783	55129.8681	49081.8088	44058.6444	59452.1151
PWY-5100	pyruvate fermentation to acetate and lactate II	48681.0712	49729.5112	62456.0842	53066.5859	63255.7763	54462.4942	60771.0764	56282.1824	34720.7061	47284.0459	53183.4774	45582.2381	55865.5945	62340.3593	54687.86	41752.8434	47999.8487	50861.1875	65775.0193	47919.5753	60205.0736	43880.5497	58118.8065	52788.2696	53035.3428	50524.507000000005	37250.1683	52413.526	56878.3142	61310.4827	48469.1535	58723.2926	54876.6618	49991.4668	60546.344000000005	49802.6683	49784.8317	50995.5488	44744.78	59390.9188	54637.3619	52013.2612	48163.4897	51959.8343	58124.7428
PWY-5101	L-isoleucine biosynthesis II	56846.6803	62834.8828	74173.2972	62954.2287	75470.4457	66814.4995	71519.6827	64597.0905	41067.3932	55491.2685	59574.6683	52917.1958	69331.2932	74727.2031	68730.8744	52123.0652	55105.0381	58023.3691	77518.0928	57416.9957	67426.9845	56500.0042	66216.2337	60205.2797	62664.8445	60603.7674	47453.7482	57586.4233	65474.8605	72752.7076	50894.6677	71961.5167	59869.0572	60615.6438	70282.6816	62003.2003	58456.7075	52711.1525	51238.8401	68825.7923	58916.2324	65379.6719	57940.023	52523.8046	68007.0091
PWY-5103	L-isoleucine biosynthesis III	48737.5613	52544.6123	62675.9986	52760.7979	64451.2092	56355.7745	60298.7935	55585.051	35153.1453	47257.3433	51563.2439	43530.4792	58742.1931	63538.4538	58147.7079	44136.3561	46916.1387	48336.888	66221.1876	50768.9674	57022.8813	49684.8322	57177.5461	51393.0393	52790.4189	51945.6377	39909.0993	48473.2698	56086.3451	62279.3344	43916.5284	61103.7657	52067.8474	52014.0799	60671.7156	53584.8973	50715.6252	45089.1586	43745.9632	59379.0661	50616.2943	54695.6667	48680.1953	44377.7819	57623.2405
PWY-5104	L-isoleucine biosynthesis IV	54836.9091	59818.2102	72032.4469	61208.1835	73049.1273	64516.6768	68983.0735	63050.5388	39684.8248	53920.8273	58349.6744	51519.7921	66033.3614	72020.5524	65494.5272	50532.4028	53645.8725	55814.1679	74865.8963	52212.5557	64986.0151	51062.5413	64717.7109	58940.8355	60782.6004	58721.2764	44702.6536	56668.8387	64104.3604	70350.1484	50274.5553	68748.2571	61633.6878	58901.846	69648.4828	60099.8636	57138.7954	50893.0675	50076.0589	66914.3963	58080.9386	63961.0313	55748.7477	53835.0196	67280.2358
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	41939.4406	45058.0019	53090.1372	46472.6133	54064.395	48056.7681	50838.1638	48303.0594	31682.9012	40515.6564	45628.7428	39944.0698	48866.3615	53212.3224	47952.7102	38749.1313	42462.7629	41069.7331	56214.8319	46913.9299	48149.0072	43295.5631	49980.0476	45145.3298	45520.317	44379.6882	35190.1903	44847.3465	48529.4691	52293.215	40128.0777	51065.7406	45345.578	44850.8381	51403.4674	44223.7314	44267.5133	41075.6097	39179.7354	51286.8553	45252.5806	45413.4449	41165.936	39644.0398	48991.3749
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	5455.0275	10725.8703	9135.7091	14055.1267	4244.7678	11324.9226	9257.381	7529.143	9556.6783	10935.6833	7082.6744	11751.1757	7732.204000000001	5949.062	7502.4879	6962.1392	11180.3804	12438.0168	8876.4088	29856.8163	8467.0385	27671.0923	7496.7347	7841.5904	10337.4244	7981.0384	14860.0027	13915.5365	5220.2634	6303.8692	9857.3669	7818.9862	9171.9126	10876.7763	9587.1788	11407.107	13392.0472	9122.5444	11488.4718	7286.2817	8502.7286	7965.4848	9529.0271	9531.5099	9346.4499
PWY-5177	glutaryl-CoA degradation	777.1893	2484.824	2111.9409	3078.1799	1691.1352	3307.6756	2311.3463	1219.414	285.2975	1247.6544	746.3577	1386.5706	1095.1294	868.3618	2001.2731	500.658	585.8279	2082.3986	1815.4720000000002	387.0086	2096.1898	356.671	750.9965	1137.6319	2023.7895	780.0246	2577.4697	1501.1670000000001	510.1122	1022.5196	1503.955	768.1896	879.2613	878.4673	816.5048	646.3433	1277.7157	921.4760000000001	1092.6756	1264.2163	1127.0553	1376.033	997.3309	913.4839	1597.6660000000002
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	21.5783	0.0	10.3222	6.165	13.128	6.67	4.2287	0.0	0.0	0.0	0.0	4.2666	8.0514	0.0	0.0	2.9078	20.6359	41.8706	4.2338	58.8044	27.4314	0.0	0.0	2.0915	15.6902	0.0	21.0781	4.873	5.7435	2.8329	0.0	0.0	0.0	3.4491	0.0	18.8702	10.4741	6.5363	5.0817	3.2489999999999997	4.6157	0.0	0.0	6.3245	0.0
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	28030.7018	24195.6005	33297.3129	28121.322999999997	36189.6717	30840.8784	33293.5966	34195.5461	17154.254	23813.6601	34106.6374	21213.5921	29648.037999999997	35058.6777	30284.1946	21249.9441	25174.7448	21254.8618	38604.5414	12346.649	28706.5677	12783.4397	34690.6778	29271.5002	25186.6539	29158.1967	18231.4324	26511.7641	32907.8869	35361.669	24701.4322	32709.4159	28243.1155	24128.5514	29096.107999999997	23067.2118	23627.3585	21229.7111	23583.7826	31946.2439	27565.2603	30142.5627	25147.4951	26703.2769	32757.0073
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	27731.2723	23815.4335	32495.1447	27209.7861	36138.0725	30420.4553	33007.183	33293.3509	16751.8257	22965.9814	33251.3554	20578.816000000003	31103.072999999997	34365.7313	30275.4044	20701.0128	25445.388	20498.9162	39809.6377	13940.6567	28292.3884	12370.7605	33767.2995	28698.4151	24602.7662	29007.9484	17652.2876	25546.3059	31746.4217	35330.7904	23578.2164	32325.4767	27236.226000000002	23639.3731	28367.0816	22908.8892	22699.5973	19260.5911	22853.955	31661.5148	26368.6642	29349.3695	24432.2467	25916.3464	32111.7644
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	230.3672	185.4884	45.9517	164.4831	0.0	456.0888	417.7568	276.8006	94.9987	747.2006	231.7311	47.545	379.6167	46.2331	132.9811	447.6071	254.4276	363.4794	252.6085	489.8829	362.6705	439.8762	193.9184	172.2438	182.7779	222.5154	134.3456	327.8823	0.0	0.0	122.7082	90.5229	113.1534	114.84700000000001	178.6769	40.2842	185.21	480.0468	325.3195	224.5125	569.0321	170.625	206.4796	615.9997	47.1187
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	3524.68	2957.34	4077.34	3526.64	4923.32	3024.02	3537.32	4677.96	1044.66	3468.34	6508.98	1408.04	3345.36	6420.66	5549.0	2716.98	1814.66	2083.02	5749.32	8494.36	1415.66	9029.86	4116.98	4368.0	3445.34	4861.68	1479.98	2362.68	4016.34	2990.02	1139.0	8110.66	417.34	642.98	777.66	1033.02	2068.64	1109.98	1792.66	1786.0	562.34	14601.0	11884.0	7744.0	7802.68
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	4722.8861	3324.4624	4142.771	5510.2765	2831.4712	4761.9229	3821.2573	3631.2185	7588.0378	3367.4165	5042.7496	2776.0791	2683.3794	2000.5102	3012.6795	10528.5312	2734.1038	3755.3231	2874.0603	14820.2793	2767.5366	19558.6939	1709.9542	1776.4144	2949.4973	1659.7620000000002	3355.9707	3540.5729	2948.6591	1536.7224	4071.9562	3080.6673	2064.6409	2692.2143	2543.1173	2196.8819	3490.893	3791.1934	4890.1031	3713.0966	2836.9761	4213.9019	3150.2717	4353.8271	5124.4387
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	7191.0357	5258.7695	8606.7733	7123.5776	10289.7013	5797.8604	6063.9921	7898.5199	7323.062	6069.4622	9758.8975	2736.7932	11036.6654	9621.0981	8434.1475	4958.5236	12411.6475	4964.0466	14286.9242	21116.218999999997	7819.1434	25057.99	7057.8523	9352.0968	5985.1912	7991.8171	3436.9639	4387.4927	6522.7953	10263.0969	5458.4688	20420.9414	6868.2390000000005	9436.8757	5377.5709	4857.9179	6258.4931	8833.5801	9626.8727	6557.8683	9430.8653	18601.5307	16531.692	14278.4021	12511.5406
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	5301.6098	5781.2481	7869.0324	3876.31	9286.0299	4078.4052	3926.9124	1462.1184	4414.1593	6148.2923	1386.3277	2759.7899	5563.691	7931.4226	6184.0052	5716.6406	2610.1468	8206.7221	5153.9735	9838.8061	10665.5834	12032.8791	4078.2983	4779.2375	4678.8934	1500.2509	1304.0682	3238.796	2320.8685	9796.8985	2277.1182	3592.3191	3330.8136	1933.3018	3116.9898	2466.8745	2301.7528	4690.5882	2468.3197	4014.0409	3029.5208	2097.1706	2137.7217	1357.4199	1965.1686
PWY-5392	reductive TCA cycle II	3.4989999999999997	0.0	6.9956	3.4989	0.0	13.9846	6.9965	6.9924	20.9099	6.9928	6.9914	3.4985	0.0	6.9951	3.4988	3.4985	6.9897	0.0	13.9836	17.4699	3.4986	0.0	6.9919	6.9922	17.4654	13.9646	10.4865	3.4983	6.9948	10.4836	10.4869	10.4947	0.0	13.9777	3.4988	0.0	10.4919	10.4869	13.9685	20.9678	13.9787	10.495999999999999	13.9917	0.0	13.9902
PWY-5417	catechol degradation III (ortho-cleavage pathway)	0.0	0.0	0.0	0.0	0.0	9.0672	11.5789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4229	27.8097	43.1358	18.4791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4681	0.0	0.0	0.0	1.6059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	0.0	0.0	0.0	0.0	0.0	9.0672	11.5789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4229	27.8097	43.1358	18.4791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4681	0.0	0.0	0.0	1.6059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5484	glycolysis II (from fructose 6-phosphate)	16288.4879	25945.6066	21986.3962	21671.1508	23734.0507	21133.7476	18029.3307	24597.0714	21660.7767	19152.5532	21367.1251	19383.6976	32380.812	24808.371	31620.0218	21410.8206	19446.3064	27350.0951	33199.2419	58376.3364	24505.4106	54962.863	17029.6931	15775.4725	18406.6685	29277.1589	21888.0868	26066.6198	18914.973	19523.8987	30360.69	32723.0419	21633.5829	22205.1658	23995.0699	24344.1329	24437.6428	40746.445	25426.8524	21169.4257	30764.8408	39998.3695	32981.8857	39369.2698	31764.6699
