pathway	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
PWY-5899	superpathway of menaquinol-13 biosynthesis	762.3201	2700.3741	6305.9991	1191.386	1082.2923	1324.5495	1269.5059	1279.0732	1411.6081	1042.7523	1544.2725	3758.3615	3779.8453	1404.4082	2593.8617	1406.4839	4207.1479	1588.1615	1289.1481	2090.3042	3944.0919	1608.4703	1015.0575	3355.9153	3457.8655	4996.6199	7044.776	7922.6452	1392.8328	690.6658	720.9328	752.5063	2066.9544	944.7713	3068.0984	4796.8794	4641.0713	3575.2626	1913.7811	1257.4609	762.5104	1414.6345	2297.7877	1762.9631	661.1510000000001	1249.2013	3275.3194
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	628.0528	1410.8973	752.5054	419.425	786.3284	670.9337	813.6065	932.4126	1314.5455	1178.3788	979.3181	890.9746	1062.0154	1316.4725	487.2769	363.2556	246.7285	277.6639	344.3373	850.8373	478.6691	303.0156	926.9202	598.5276	472.8785	477.6396	639.904	626.5008	1201.6595	528.8108	412.9773	301.37	599.9298	296.981	811.7403	553.0627	494.2493	1797.9381	1594.1997	1062.3203	765.4143	528.7221	1050.7455	596.6944	515.2997	947.8985	687.8274
PWY-5913	TCA cycle VI (obligate autotrophs)	3580.8098	5493.2694	13268.2927	4655.8056	3842.3392	3062.8555	2871.7958	3971.0505	2876.9183	2205.3492	3269.4612	7990.4135	6111.6005	2637.2631	5872.2454	3096.5581	8413.5249	2548.6091	2411.9019	3035.5692	8411.6006	2052.7814	2524.6659	7651.2421	7667.5226	9732.0939	13951.8583	13478.9024	2281.5673	3089.3876	3213.5323	2595.5381	4929.1776	2522.8316	6929.0564	11074.1594	10163.6023	6725.0081	5548.1167	5367.8784	3148.3349	4127.4806	5117.3358	4442.7491	2010.6833	3331.5774	8052.6104
PWY-5918	superpathay of heme biosynthesis from glutamate	1065.3621	936.8222	1679.1104	1753.3589	909.7172	1076.5157	1289.5529	1754.7944	867.5261	708.1942	1243.8817	1461.0886	1289.1479	1234.969	1005.7581	1179.5738	1558.6208	1466.8231	1252.4147	2308.0391	1489.0199	1734.6159	1301.9741	1051.3651	1323.1871	1626.8119	1782.3881	1288.8088	2197.1020000000003	1325.549	1081.6559	757.6210000000001	897.9556	698.0416	1003.1937	1467.8578	1515.7615	2618.1181	2843.9285	2124.4656	1407.0628	2160.4269	1944.5343	1004.4257	843.6523	1471.5768	1289.1451
PWY-5920	superpathway of heme biosynthesis from glycine	586.9011	453.819	976.191	1028.0862	490.1656	593.231	599.0698	614.5762	298.899	379.8881	597.5306	503.9242	427.3508	417.81699999999995	489.9831	620.2861	538.2669	675.4242	720.3712	880.867	514.545	660.6437	557.3294	575.9415	435.9399	866.6831	784.7753	600.259	535.7727	401.3155	336.9535	370.0571	310.2134	384.8123	532.9105	828.6253	681.4010000000001	860.4309	725.0769	871.4524	312.3645	499.9983	768.0360000000001	531.9163	255.2506	480.5526	611.4903
PWY-5941	glycogen degradation II (eukaryotic)	5.9995	0.0	0.0	0.0	0.0	5.9993	0.0	0.0	9.9983	0.0	0.0	0.0	0.0	1.9999	1.9999	0.0	5.9993	0.0	0.0	0.0	0.0	1.9999	1.9999	0.0	1.9999	0.0	0.0	0.0	0.0	0.0	1.9999	0.0	3.9998	0.0	0.0	0.0	0.0	5.9994	3.9997	1.9999	1.9999	0.0	0.0	0.0	0.0	1.9999	5.9993
PWY-5971	palmitate biosynthesis II (bacteria and plants)	2061.153	3214.8339	5665.5479	6352.6489	2083.5258	3031.1817	3060.3935	2161.0169	1851.2695	2175.0585	3688.6777	3913.5106	3696.4896	2403.5902	2200.1229	2234.5959	3631.2504	4294.0195	2928.6306	7743.57	2863.7232	4252.8739	3767.8316	3278.2274	2202.3396	5958.6437	5465.9066	2901.9825	7075.2591	2310.257	2504.224	1505.7217	2130.3321	1915.2948	2175.4022	2427.6702	3322.1889	3984.2381	1604.3904	1727.9566	1230.8898	2599.0554	1692.0786	1630.8467	996.4144	1137.2348	2289.3927
PWY-5973	cis-vaccenate biosynthesis	45354.251	32691.3097	32398.6805	41162.5426	38702.6712	35819.9905	42561.4341	40593.8309	37224.3194	40633.3653	28700.435	39533.566	33515.2928	41978.0979	39961.4209	39306.9067	35007.0151	26708.3401	40534.5845	32036.2132	39553.8501	35761.0309	34547.8038	36519.056000000004	41091.8245	36330.8918	32249.2424	29669.2474	34862.9372	43637.5432	43634.2664	44440.1783	44052.8575	39323.9836	34156.7862	38433.5725	37500.5031	38146.1505	34136.262	28527.533	47243.1912	35421.0298	21660.6483	39539.5595	49879.9166	45038.6348	36391.2418
PWY-5989	stearate biosynthesis II (bacteria and plants)	1341.0219	2120.9947	4008.6628	4560.4494	1360.3312	2008.5609	2047.5496	1409.8136	1207.8041	1417.7515	2500.3283	2636.7851	2502.0687	1563.807	1450.3275	1515.7695	2691.3495	3098.0758	1921.6005	5531.7653	1935.0477	3037.0679999999998	2532.3189	2223.574	1464.4086	4509.6508	3949.8146	1949.3161	4915.9244	1538.5392	1695.6231	1002.9982	1399.4507	1301.4152	1426.1833	1617.1097	2289.2606	2631.853	1025.621	1130.1938	797.1737	1761.4239	1111.6446	1062.3646	642.4168	729.6418	1516.1506
PWY-6071	superpathway of phenylethylamine degradation	54.7061	82.2029	110.2744	82.9362	80.2508	107.49	56.6855	72.4644	52.1013	56.2409	91.8381	109.7887	77.7532	69.6896	132.6713	191.4774	136.0237	171.2635	192.7332	249.0162	143.9486	163.5334	105.7952	123.0296	81.047	95.7686	121.0434	148.0347	113.5051	63.9095	65.1082	85.4416	74.8481	76.4376	88.2634	140.7837	119.5803	114.2895	49.0705	43.093999999999994	47.6318	48.4186	47.0012	62.426	34.1722	54.1996	73.4884
PWY-6107	chlorosalicylate degradation	0.0	0.0	0.0	24.916999999999998	0.0	0.0	0.0	1.4932	0.0	0.0	0.0	24.59	0.0	0.0	1.4909999999999999	2.9809	1.4891	0.0	0.0	23.9396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	1.4917	2.9489	0.0	2.9751	15.5422	0.0	0.0	0.0	2.9682	1.4789	1.4657	0.0	5.6771	0.0	0.0	0.0
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	43156.8034	32453.8862	31473.9077	38935.8934	37842.0467	34040.3236	40424.3137	39042.6151	36569.0468	38990.1689	28133.2201	37988.9432	33412.6333	39894.9203	37963.8475	37562.075	33390.3844	26845.135	38567.9802	30529.6153	37906.2862	34810.4017	33337.3058	35476.9207	39610.1113	34811.8532	31930.3087	29797.9853	34099.9742	41415.2188	41508.8052	42217.2907	41721.2768	37673.973	33163.5878	37549.4777	36539.2037	36269.5675	32748.5264	27169.0262	44650.2883	33302.1622	21013.3786	37753.299	47376.5989	42821.4746	35340.4573
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	44217.0261	33027.2974	32046.6893	39684.4984	38677.4363	34467.4073	41220.6753	39976.887	37389.3547	39870.7281	28533.1212	38886.3261	33842.6896	40774.0441	38686.6039	38280.1803	34117.9562	27040.565	39353.668	30825.5435	38774.1614	35312.9652	33796.0283	36153.0798	40589.0613	35277.7896	32610.5618	30570.0798	34583.1094	42419.7025	42498.6321	43316.8258	42765.5267	38442.4648	33925.6511	38394.2658	37420.8645	37134.4362	33552.2744	27696.3952	45782.5444	34148.4385	21497.7772	38611.0889	48615.1703	43858.2027	36127.3075
PWY-6123	inosine-5'-phosphate biosynthesis I	39004.1827	29645.6037	28409.2125	35411.5729	34241.0341	31311.9667	36630.1304	35324.3077	33726.5652	35435.8232	25813.5218	34268.9438	31060.9311	36188.2673	34743.9	34416.157	30323.361	24561.2561	34857.6154	28154.3686	34123.0657	31773.4437	30403.9845	32211.7643	36009.3628	31974.3237	29371.814	26568.9589	31228.2534	37446.757000000005	37503.2097	38187.5575	37658.2587	34137.7028	29899.7661	33295.0498	32518.4924	33095.8085	30103.4176	24778.9652	40415.156	30824.7386	19175.6232	34034.9638	42796.7849	38574.1448	31633.4776
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	4507.4353	8246.6872	14890.0942	6213.3561	6085.868	5372.5632	4787.6485	6303.2298	8202.4736	5150.4595	6309.9625	9736.9401	12658.5381	4483.8773	7057.1112	4638.1835	10585.4572	5947.1851	4261.1929	6968.7129	10217.1594	5137.6384	5040.2168	9707.0933	10790.8723	13690.6453	16056.8733	15272.2562	6335.5239	4697.1126	4858.793	5080.4397	6784.4721	4983.9888	8610.7735	11012.0186	10892.9798	11264.9373	10850.6736	7471.3730000000005	5285.6164	10671.5332	7873.9905	4579.4856	2618.0327	4433.9822	8083.3446
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	28444.2658	26379.1569	33035.2245	26011.4545	37118.9972	31556.3738	36921.1524	34575.7718	26908.6128	28957.0147	27448.034	35362.9813	34951.7475	37763.9212	37908.564	34380.3401	32863.5568	25578.8125	35712.6094	26612.8544	40587.1687	35966.1793	31729.1195	34766.6383	33228.54	33960.6294	32691.6487	25855.7955	30658.5186	32541.3008	29664.7238	30325.0247	35218.437999999995	31986.0858	28181.9928	35713.7947	35980.111000000004	35249.2896	33404.1678	27196.0511	37416.6428	27758.3861	21191.9181	28719.6127	29698.5739	33377.5466	32269.9186
PWY-6143	CMP-pseudaminate biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4891	0.0	0.0	0.0	1.4969999999999999	1.4896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2198
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	26707.1389	19187.6506	12724.2623	23519.5319	17078.9608	16435.4908	20315.1115	18087.0041	23744.6541	24197.8938	13434.8631	19435.5407	17458.0522	18138.9535	16714.318	16431.229	16437.4825	16701.375	22065.2618	19247.5471	13482.0849	17548.2537	19053.9734	17082.5061	21903.5137	19814.7291	16171.9259	14646.8114	21143.2088	23404.8324	22627.7151	25405.4725	20339.3579	19329.1337	16493.5944	25749.2416	26665.7992	22708.0786	18728.1593	14545.4224	24885.5917	16112.2592	11486.2866	25806.8803	29003.6155	27443.0343	23982.5381
PWY-6151	S-adenosyl-L-methionine cycle I	28912.8097	23878.8185	20875.2047	25629.0926	28684.744	21808.8759	28253.7869	26893.068	24980.8933	27006.5926	20154.7362	25913.2231	25626.231	28087.377	26490.9005	26745.2257	19937.0748	19991.6582	25054.7207	20655.0215	27120.9751	25992.5676	23625.1932	25364.2857	29249.0575	25908.9858	21221.8974	17168.4562	24700.5734	31504.1532	30393.2856	29219.3676	30649.1385	27052.3122	24619.769	17338.6106	15043.3617	24013.0673	16810.2535	18774.1459	33407.3396	23429.9202	13696.2784	26927.5975	31405.3124	29654.7344	20698.908
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	46828.4203	34539.8946	31920.2828	41629.0953	40092.2502	35483.251000000004	42767.0027	41251.4838	39135.8774	42431.1546	28876.3708	39718.2742	34582.4651	42386.5292	40584.508	39780.5182	34794.1484	27907.8617	41639.7532	31903.0583	40326.373	36941.9543	34888.9877	37249.0398	42528.4921	36240.3182	32707.5137	29884.856	35476.8713	44841.5824	44819.174000000006	45702.9131	44915.9303	40470.4513	35073.7434	38621.2771	37209.8389	37756.7453	33704.8353	28533.814	48088.4923	35166.6077	21357.4444	40906.773	51977.0543	46598.6483	36963.1792
PWY-6165	chorismate biosynthesis II (archaea)	132.3274	160.4347	77.1247	140.8875	78.0285	85.2386	33.265	39.2843	54.92	51.933	116.3792	46.6426	68.8691	76.7577	19.0809	85.2787	78.5582	19.373	46.5938	59.9931	31.4166	29.0317	25.2218	127.8418	63.6296	47.0874	85.0599	40.8822	49.0803	63.8259	26.3822	67.2388	58.4458	59.1959	98.4504	17.6353	21.6695	19.9335	13.9623	15.9737	39.0096	63.3494	27.8642	7.8172	15.3015	19.3178	2.5186
PWY-6174	mevalonate pathway II (archaea)	0.0	0.0	2.9921	0.0	16.8116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1684	0.0	0.0
PWY-6182	superpathway of salicylate degradation	37.3536	66.803	87.2477	72.3501	57.5454	85.0079	43.5545	46.0816	29.570999999999998	48.1511	69.2724	84.5994	55.9045	53.9588	94.2322	137.0086	90.6259	128.7367	140.5296	177.8475	94.4921	111.0205	66.1163	64.7916	38.5801	61.756	83.6628	106.5609	60.9581	41.8891	37.938	46.2202	35.618	45.8315	60.3954	88.9354	64.5463	66.1388	48.1021	35.0553	27.9179	37.856	37.891999999999996	42.4036	27.1157	40.4546	55.2128
PWY-6185	4-methylcatechol degradation (ortho cleavage)	33.3093	62.258	83.0048	66.598	54.8269	78.1607	38.1119	38.001999999999995	27.7898	46.5668	66.0163	81.8665	55.9962	49.1317	95.0555	128.64700000000002	94.4074	130.7446	144.1404	184.1565	101.8414	113.4106	64.1697	58.1525	37.6668	64.8376	85.1159	108.5274	67.993	41.5231	34.5653	40.3596	33.571	49.3039	58.00899999999999	91.3283	67.3453	61.623999999999995	37.7365	28.5003	26.4682	34.4682	35.4651	43.7144	26.9146	38.5455	50.313
PWY-621	sucrose degradation III (sucrose invertase)	49371.2874	35604.1671	25701.3567	42540.4414	39325.7655	30902.3373	42660.1578	39693.4192	41366.7886	44705.6994	26730.9751	37470.6962	32773.464	39727.2405	35217.7917	36149.3994	30407.2279	29709.2795	41433.9906	31333.4456	37228.3717	36061.8154	35334.7438	35515.1439	42057.6146	39091.4447	28453.7071	25255.7489	35929.7273	46456.5156	46035.0674	48885.0238	45532.4019	41449.7059	35022.4973	28454.1648	22842.441000000003	31405.2871	21723.4473	25322.3352	47686.9119	30987.5266	16141.8638	38927.2834	52991.2437	46058.0266	29878.8727
PWY-6263	superpathway of menaquinol-8 biosynthesis II	741.6106	627.3709	680.1291	787.0927	718.6751	989.1537	1212.3391	1077.2505	1121.6195	590.8123	641.453	668.7573	1521.4011	320.9848	355.2604	712.6796	545.3579	1765.1629999999998	700.4262	876.0788	843.8151	1004.2444	697.7410000000001	696.2848	978.673	778.2002	795.6433	564.4369	999.936	826.9439	883.3317	566.3996	866.1439	570.6343	625.7991	1224.5163	648.5807	2030.3220000000001	2647.8245	3090.8611	1407.7377	4261.7658	1911.6757	399.8706	267.0441	615.5235	720.6011
PWY-6269	adenosylcobalamin salvage from cobinamide II	26190.6104	19540.8413	21233.3892	23883.6352	27285.4337	22934.1615	27186.2771	27148.2962	19336.5886	22079.6346	18191.4516	25833.3567	20627.8544	27207.8178	26476.3977	25182.3619	22622.3192	16730.0942	21703.0369	18836.4879	27340.613999999998	20961.3106	20695.0181	24463.6511	27143.3409	24191.5564	20466.3624	17503.4812	22213.6274	29882.6812	29271.3091	28517.8294	30195.1215	26232.8692	23630.6791	24501.1533	26514.5002	26486.3439	23110.1946	19023.7142	31518.9876	23452.9403	14676.8538	25331.1709	27036.1881	26225.6452	24385.2811
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	44217.0261	33027.2974	32046.6893	39684.4984	38677.4363	34467.4073	41220.6753	39976.887	37389.3547	39870.7281	28533.1212	38886.3261	33842.6896	40774.0441	38686.6039	38280.1803	34117.9562	27040.565	39353.668	30825.5435	38774.1614	35312.9652	33796.0283	36153.0798	40589.0613	35277.7896	32610.5618	30570.0798	34583.1094	42419.7025	42498.6321	43316.8258	42765.5267	38442.4648	33925.6511	38394.2658	37420.8645	37134.4362	33552.2744	27696.3952	45782.5444	34148.4385	21497.7772	38611.0889	48615.1703	43858.2027	36127.3075
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1349.2312	2140.9098	4089.1328	4661.6249	1371.6932	2030.7102	2065.179	1420.3445	1212.9084	1427.565	2525.7825	2673.2673	2521.6081	1579.5216	1471.6605	1529.0672	2732.0836	3121.2006	1955.0784	5634.9883	1969.3605	3094.3464	2559.3504	2245.2484	1473.8955	4558.3487	4002.3459999999995	1979.964	4977.88	1547.1034	1706.5637	1005.9706	1407.4702	1307.5793	1435.6411	1626.4057	2302.4282	2659.6045	1029.7143	1136.7997	800.6452	1783.8128	1119.8334	1070.1277	646.9645	732.9999	1526.4071
PWY-6317	galactose degradation I (Leloir pathway)	41330.1913	32159.0031	27613.4386	36360.626000000004	36450.9391	27829.9982	37104.8024	35457.3497	35164.7652	38920.7314	25150.0167	34763.4857	31313.3768	38039.3697	35581.3421	34185.0016	29092.7941	24998.5599	37592.3468	27275.407000000003	36415.4058	34156.3343	31345.9846	32885.6848	38267.5207	31816.8131	27566.1843	24780.1556	32145.0595	40384.3199	39528.5927	39690.0616	40397.9206	35410.6522	31864.1358	35202.5708	34110.1024	33581.1401	27136.5898	25065.1367	43264.2259	29330.1194	18417.032	37189.6029	47156.7627	42566.7433	33447.4385
PWY-6338	superpathway of vanillin and vanillate degradation	20.5863	30.5489	52.9572	7.7795	2.2115	17.5429	16.5255	5.8289	11.8847	35.3225	40.7545	4.4963	0.0	21.8412	23.3556	6.6737	18.9241	55.4	62.5066	13.4837	0.0	4.474	17.6092	7.3336	12.7895	34.9468	22.7312	8.2471	0.0	12.3477	7.6984	5.9353	15.2702	24.3982	20.6599	4.4088	2.3613	18.6565	25.5729	3.1818	10.3153	27.3553	12.6858	3.9201	2.3009	10.7591	17.2035
PWY-6339	syringate degradation	33.9952	62.9974	185.8045	28.3151	45.602	98.7616	36.3243	15.9989	20.6477	65.3353	109.9172	29.0411	0.0	51.61	101.1092	129.5786	78.4425	117.5963	102.3545	123.7529	0.0	132.6094	36.592	15.7616	29.996	64.8625	139.8789	29.1249	0.0	37.2187	16.7819	14.1177	29.2056	44.3966	141.8924	35.0589	38.1045	57.3853	49.4813	6.8993	18.4204	46.9068	93.91799999999999	13.6413	22.2737	47.2747	34.2167
PWY-6353	purine nucleotides degradation II (aerobic)	7814.9895	9114.6662	12557.0043	9516.0537	11377.1561	9653.7427	11697.2651	10884.4363	8975.93	8095.5134	10177.5288	10111.402	14507.3794	10760.1756	11226.1821	11523.6373	9728.5941	10381.3329	12648.2093	9856.8616	11401.5668	14610.8648	11746.7502	11497.7081	9381.0511	13416.3409	12057.0929	7004.5081	11459.8901	9157.5629	8722.6579	8015.406	8703.1407	9873.0998	8451.8915	7816.861999999999	5371.7215	10747.0216	9733.6086	11214.8175	10784.1715	11013.8255	7483.5945	8159.4091	6856.1902	10058.4848	8462.6103
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	49.2939	55.2771	46.1769	67.6899	77.4098	66.3302	31.6867	38.6053	35.7348	9.9764	21.8428	47.2912	41.7132	26.8264	29.5926	56.071000000000005	45.7215	28.8278	23.8516	55.308	40.4423	31.7082	57.3974	83.199	42.1564	33.8616	29.6619	64.6604	41.549	19.8766	35.6123	41.5795	20.8664	19.8351	19.8785	54.2388	42.1276	45.7275	85.1288	101.7033	48.4582	87.3745	47.6073	33.3961	59.6131	53.0036	19.8199
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	40902.4982	30858.7742	27903.1927	36657.3681	36477.5486	32865.0403	38629.2064	37342.4817	34862.6737	37380.8995	26882.664	35122.5616	31732.0015	38679.6169	36589.122	36450.1242	30826.5586	25615.8064	37070.1261	29205.9429	35599.8785	33641.1386	32036.2022	33300.84	36883.127	32172.0936	28235.0604	24611.2908	32441.972999999998	39421.8237	39352.1127	39964.799	39493.6363	35934.1611	30784.1287	33680.1268	32701.9906	34114.906	31378.4368	25933.8003	42335.1267	31177.8552	19554.0738	35458.7719	45095.5039	40724.8763	32440.1707
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	41941.5752	31536.1146	27902.5071	37485.551	37221.9766	33404.2233	39380.4505	38081.9173	35719.7025	38396.807	27317.8551	35585.9975	32081.4547	39437.5878	37129.8294	37026.7047	31067.9342	26227.2419	37891.4868	29791.1305	35978.9958	34243.7737	32668.9764	33848.2316	37606.0023	32588.6104	28182.638	24188.0655	33215.1761	40442.5843	40326.3681	40998.4043	40344.7308	36772.4332	31354.6557	34159.7926	33196.8222	34755.4406	32210.9019	26541.337000000003	43492.5656	31964.0023	19926.0557	36365.9311	46451.9885	41877.4889	33070.4168
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	41672.418	31468.1092	28541.892999999996	37178.7009	37221.8719	33482.2529	39365.4738	38126.4469	35571.3402	38010.9622	27452.7826	35810.3493	32339.3383	39577.4811	37387.8272	37218.4758	31495.6181	26085.6611	37836.5592	29718.0092	36436.803	34353.675	32663.1958	34018.742	37604.8273	32812.4973	28831.8056	25162.7128	33098.1763	40125.8692	40082.3327	40743.0131	40335.0433	36664.0936	31409.8595	34258.818	33228.6537	34705.8942	31877.3584	26425.2929	43061.0355	31724.0639	19904.1525	36014.1386	45854.122	41389.6372	33009.0473
PWY-6396	superpathway of 2,3-butanediol biosynthesis	189.7024	196.8893	247.7333	162.6794	213.2697	309.8574	365.1611	280.3854	363.0228	276.6529	325.0319	301.406	441.1782	401.0946	216.2138	210.0719	203.18400000000003	156.6504	174.2176	242.8707	176.3069	182.2349	274.1408	291.0692	200.9493	219.57	254.9062	254.8205	318.7863	166.8928	157.1822	130.0628	126.0513	129.872	178.9574	229.3353	145.7544	271.4731	380.2103	308.1848	355.7667	257.9477	288.6372	269.3617	235.2643	343.0412	303.6871
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	10.1614	10.3515	6.3305	6.856	22.1243	17.0355	5.7045	7.4266	4.5874	0.0	2.327	0.0	16.5458	6.275	4.5758	4.0307	8.4758	2.9013	0.0	0.0	14.8183	5.7484	9.2069	6.9074	5.1526	1.1655	3.4606	0.0	12.3696	4.5638	11.3085	5.6858	2.8845	0.0	0.0	0.5837	11.8263	10.3129	21.7924	14.1831	10.7085	12.6817	10.3681	3.4519	14.5914	12.4159	6.752999999999999
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	34.0261	32.8183	21.358	18.1371	78.5142	53.7599	18.7838	13.9269	0.0	0.0	0.0	0.0	58.1656	18.98	0.0	10.0751	14.7833	8.1117	0.0	0.0	52.0493	16.0121	29.9575	18.2518	16.4511	4.3622	0.0	0.0	44.3304	15.5157	34.7702	0.0	8.0554	0.0	0.0	2.1901	42.3964	23.0457	32.6282	33.0627	16.2364	0.0	0.0	0.0	48.9783	33.5986	22.7503
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	1637.53	3401.06	6938.35	2767.6	2142.2	2467.7	2371.38	2089.63	3286.3	1935.08	2738.84	3896.93	5705.33	1483.3	2616.16	1541.02	4559.58	3488.56	1903.84	4019.76	4099.92	2930.83	2558.86	3991.38	4325.45	6556.91	8034.05	8048.38	3288.24	1844.34	1951.53	1695.94	2425.53	2128.08	3373.52	4992.04	4747.52	3284.71	2358.74	1746.51	938.9	1500.57	2243.76	1812.6	694.36	1623.75	3246.78
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	953.2506	1274.7169999999999	1512.0854	964.0764	1425.4812	1806.6828	2558.9986	1963.8454	1712.0573	1557.5371	2053.158	1715.4416	2273.6566	2393.6199	797.8084	544.4237	513.6907	503.559	694.3221	612.9736	721.7855	653.7146	1722.4218	1109.1687	990.1637	1005.3716	1269.4742	1138.2135	1535.7872	942.2315	1120.5549	533.4312	772.9869	714.5603	810.7919999999999	848.9852	1098.96	1493.3854	1571.7764	1070.9257	1201.9883	984.2635	964.1155	962.2947	1045.2771	1472.2977	1507.3023
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	14657.6995	11497.7683	9270.6459	17228.7065	16742.356	14158.8539	17959.7717	18802.4655	13416.0471	11811.2642	14451.7016	14816.0211	10926.6117	17261.7587	13150.9936	15125.3893	11661.2618	9666.2903	13023.8817	13203.2213	12848.0604	10199.3059	12782.2855	14087.5006	11517.9054	11277.4831	7878.0223	9848.2246	13628.1537	11952.3122	16153.2243	17738.4515	16438.1878	15631.4243	11526.4217	5711.3792	3895.9282	9949.3852	7967.1634	8473.6772	10566.6905	4590.2663	4961.670999999999	5431.9499	8009.3192	7438.7999	7557.1685
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	10352.3531	7493.1489	9650.9684	7735.446	11758.2525	4770.7547	10932.6435	10021.4733	7326.0676	9451.4008	6387.4974	10739.5492	7657.0361	11774.5404	10913.5476	8811.9964	9169.028	5543.5294	11124.661	4976.3902	14681.1072	10108.5429	8049.9643	11308.7407	10815.3224	8611.3843	8511.35	5461.7062	7625.6328	11664.9611	11268.466999999999	11235.8691	13732.0212	10833.9545	8982.3455	5607.6986	2846.4824	5884.5774	4679.1739	7586.673000000001	13724.5567	9500.8144	3936.6979	6891.5571	13544.5726	10806.8963	5354.969
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	11128.0027	11393.2251	17568.3896	9365.6801	17442.0057	8640.9638	16745.7908	15380.8607	9469.6269	12501.149	11405.6082	16515.0232	13353.8658	18624.1745	15769.9079	11230.3248	13553.7609	9658.4184	14042.2771	8842.523000000001	22487.652000000002	14627.7508	12506.7901	16590.1392	14986.5858	15545.2078	13652.3738	8472.2082	13218.4889	16275.1012	13652.77	13732.3654	17901.8573	15951.969	12944.7479	8595.0217	5949.4512	14098.6332	8540.4547	13407.1605	20584.0054	13357.3099	8203.0613	13977.3024	16462.8404	14277.6907	11161.5215
PWY-6519	8-amino-7-oxononanoate biosynthesis I	1470.4958	2534.0861	4217.7785	3955.0843	1740.6901	2471.7297	2193.4701	1641.4804	1405.0768	1628.4479	2757.0408	2460.6058	2966.272	1644.6277	1610.5592	1510.2951	2383.0295	3421.2889	2087.5815	4933.644	2141.666	3027.4964	2831.6421	2479.2251	1656.6378	4722.5258	3204.7509999999997	2037.1746	4118.4196	1696.1727	1856.9714	1086.349	1585.8505	1696.0009	1762.9757	1917.8368	2202.7585	2217.5939	901.2701	1422.007	937.1382	1438.7193	1232.276	1258.0856	637.9325	953.0207	1768.2954
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	2549.169	4104.1065	8930.6734	3592.7482	3807.4390000000003	3119.9884	3084.7383	3955.6009999999997	3837.9983	2883.4204	3389.7859999999996	5451.2033	7354.4529	3295.2794	4571.5483	3201.458	6296.2501	3464.0440000000003	2897.6044	4120.8852	6325.1512	3324.5345	3319.933	5721.855	5885.5658	6384.2959	8377.456	5283.5445	3933.8259	2913.3674	2951.2105	2757.5633	3931.5097	3098.3321	4810.2228	7228.4918	7394.8427	7009.8258	7122.3573	4607.4198	3158.8165	6320.5087	4878.8357	2675.4738	1783.7992	2781.6287	5156.1391
PWY-6562	norspermidine biosynthesis	78.1437	118.0068	125.06	86.5164	127.0442	139.981	65.2377	90.7373	70.1911	90.3164	107.9198	114.8877	116.1955	83.6668	164.9347	215.701	194.4511	230.0818	264.8692	323.7083	203.3606	210.3878	143.8523	168.6154	112.9893	142.208	174.2563	190.1355	182.9986	81.1519	82.8738	102.92	89.14399999999999	106.0641	108.9516	176.5645	169.5134	146.0723	57.3536	62.6396	63.8759	76.8828	61.4613	81.366	55.6654	74.2276	84.4242
