Pathway	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Limonene and pinene degradation [PATH:ko00903]	27263.120000000003	18431.339999999997	10246.37	23006.55	19819.77	18834.35	21985.57	20179.529999999995	22885.940000000006	23762.489999999994	15404.56	17948.139999999996	16442.95	18743.949999999997	17595.88	19071.270000000004	13713.64	16230.129999999997	23297.71	17153.7	13850.900000000001	18922.44	18433.549999999996	16975.709999999995	20105.63	16676.83	11390.499999999998	12467.33	19287.1	22326.149999999998	23338.409999999996	27579.57	20660.960000000003	19902.71	16137.059999999998	23735.760000000006	24761.810000000005	18966.809999999998	16311.869999999999	13851.329999999998	23901.390000000007	12566.21	9520.400000000001	24134.66	28607.539999999997	26674.1	22515.12
Linoleic acid metabolism [PATH:ko00591]	416.75	762.3899999999998	850.8700000000003	517.22	585.42	955.67	773.8299999999999	516.76	378.9199999999999	532.4200000000001	821.76	628.0099999999999	795.3399999999997	592.08	621.07	597.9500000000002	564.8900000000002	1170.88	835.57	1322.7599999999995	657.83	1118.1299999999997	1266.5399999999997	910.9799999999997	532.88	1182.7400000000005	787.89	734.2499999999997	1154.58	447.8899999999998	470.25	306.76	367.78	716.4299999999998	578.63	909.64	775.4499999999999	486.21	302.7	891.5899999999997	300.0999999999999	435.75	531.2899999999998	561.34	256.2	553.7200000000003	698.15
Lipid biosynthesis proteins [BR:ko01004]	491359.5800000003	359232.89	344959.51000000007	438728.63	416850.2200000004	372425.88	453105.79000000004	433156.3200000003	408942.40000000026	438074.11	309774.86000000004	421130.2100000002	363730.6299999999	444661.9100000001	414225.60000000027	415894.92000000016	372974.6900000002	296212.2799999999	430728.91	343466.45	419259.52	382610.51000000007	371725.02000000014	392783.32999999984	440573.11000000016	392670.16	350467.75000000006	309911.01000000007	381132.0000000001	471689.9700000001	468706.65000000014	483677.7000000002	476285.1000000002	424191.6300000001	369170.18999999994	406644.04000000004	395947.47000000015	407684.1500000002	360259.05999999994	309245.8899999999	505534.93999999994	372154.94999999995	230910.34000000005	423700.45	525872.6900000003	477802.01999999984	391771.1700000002
Lipid metabolism	124.38	161.27000000000004	252.28	147.10000000000005	180.76	234.17	92.61	175.25999999999996	69.41999999999999	61.67	135.26	124.08	126.38	118.55	120.32	259.92	123.14	148.54	196.78	215.42000000000004	153.95	164.76000000000005	118.17000000000002	189.85	97.63	90.11000000000001	169.89	137.79	133.45999999999998	80.07000000000002	88.34000000000002	132.89000000000004	75.52999999999999	84.22	133.21999999999997	124.23	137.82999999999998	141.71	78.24000000000002	137.13	55.35	54.91	91.2	63.63	61.11	82.03999999999998	100.53000000000002
Lipoarabinomannan (LAM) biosynthesis [PATH:ko00571]	242.0	316.2	221.9	193.6	447.2	507.37	160.8	258.57	112.65	83.0	331.9	144.8	260.7	169.33999999999997	129.7	202.5	243.6	207.2	74.1	313.3	209.24	182.83999999999997	293.28999999999996	269.61	127.4	165.7	121.3	90.5	214.6	133.99	211.8	168.04	119.75	82.0	109.1	96.1	192.4	290.14	683.4	319.54	162.14	358.14	350.55	111.8	229.0	201.6	188.4
Lipoic acid metabolism [PATH:ko00785]	12091.109999999997	16138.050000000007	33797.850000000006	14502.380000000001	25188.329999999998	17770.07	21382.350000000002	20399.070000000003	12898.880000000001	13398.450000000004	17418.359999999997	23560.24	26874.730000000003	21730.8	24892.060000000005	14890.950000000003	25526.729999999996	13185.88	17891.370000000003	13843.460000000003	34435.06000000001	19137.530000000006	14901.870000000004	26443.4	22287.879999999997	25931.489999999998	32659.81	28789.760000000002	16775.56	16602.92	15466.130000000001	14418.090000000006	21117.32	18997.96	19583.519999999997	17898.309999999998	15271.08	16750.86	16550.56	14677.930000000002	14718.279999999999	13580.72	12810.34	9350.789999999999	11053.210000000003	11712.940000000002	13610.619999999999
Lipopolysaccharide biosynthesis [PATH:ko00540]	79816.12000000002	83529.66000000003	130576.12999999998	78686.16	83344.16999999998	59471.880000000005	79005.73000000004	76650.36	86674.09	78438.34999999998	64537.98000000001	94470.65	109410.82	71327.91	81715.56999999999	63547.859999999986	100118.50999999998	76450.22	82629.51000000002	83916.14	115849.31999999999	86233.27999999998	70601.27	99987.47000000002	108754.35	123780.62000000001	138906.63000000006	127064.06999999999	80815.59000000003	82293.02	82319.40999999997	83714.88000000003	95725.18	80196.42000000001	89708.66	93983.60999999999	78046.86	72071.46	60805.830000000016	61782.90000000002	73413.42000000003	69144.08999999998	49738.90999999999	58318.149999999994	75904.95000000001	75727.75999999998	67179.45
Lipopolysaccharide biosynthesis proteins [BR:ko01005]	209967.42000000013	163365.78000000003	159662.02999999994	183950.79000000007	158663.22	136562.28999999998	166042.14999999994	160628.60000000006	194603.96000000002	199329.36	114920.70999999996	149613.33000000002	167648.44	145568.77000000005	142333.15000000005	131107.46999999997	154891.96000000005	135646.85999999993	177350.26000000004	153525.67	168467.24	153752.06999999998	136270.36	162634.02000000005	198762.84000000008	183689.64999999994	179342.18999999986	164331.7500000001	156549.27000000002	188099.26000000004	189469.72999999998	210666.1800000001	192630.50000000003	175321.10000000006	165437.04999999996	175657.76	158386.78000000003	136808.89	129207.21000000002	113772.11000000004	163853.34	120238.91999999995	82026.77000000003	143445.11000000002	207372.7800000001	189660.52999999997	137730.3
Longevity regulating pathway - multiple species [PATH:ko04213]	71133.31000000003	53018.729999999996	52834.16	62075.51000000002	59343.99000000002	51444.86	63686.35	61289.250000000015	61916.58000000002	64359.13	44681.04000000001	58946.67000000003	56373.65999999999	61508.680000000015	57955.54	57233.04000000001	54177.27000000001	44310.17999999999	63959.75	47950.20000000001	62752.15000000002	57091.26000000001	52161.52000000002	57406.84999999999	66856.36000000002	59960.55	56193.580000000016	51723.30000000002	52663.98	67320.24000000002	65809.95000000001	70571.48000000001	68576.93000000001	60276.37	55851.05000000002	54836.8	50070.98000000001	54778.890000000014	46165.66	44565.53999999999	69376.4	52944.82	32502.04	57674.80000000002	74087.55000000002	67421.74999999999	51943.640000000014
Longevity regulating pathway - worm [PATH:ko04212]	175019.96000000008	128042.65	122539.40000000002	151860.33000000005	146873.10000000003	126637.17000000001	155155.3	150136.59000000003	146245.06000000006	160582.11	103226.13000000003	142732.24000000005	131669.45999999996	152327.87000000005	144073.42000000004	141917.59000000003	128889.45	105564.58999999997	158270.37	117582.56	150355.15000000002	138238.34000000003	129138.80000000003	137166.74	162017.41000000003	140829.43000000002	126771.82000000002	115513.86	127933.03000000001	166268.30000000005	164361.75000000003	170138.08000000007	167341.45000000007	148752.28	134301.27000000002	135187.70000000004	124404.33000000002	132493.97000000003	113942.36999999998	102398.24999999996	173665.00999999995	120792.51000000001	75889.55	146207.74999999997	190455.27000000002	172178.22999999998	128810.24000000003
Longevity regulating pathway [PATH:ko04211]	6592.0	9558.3	19285.12	7570.43	12668.32	8990.42	10640.4	10759.98	7979.660000000001	7237.6900000000005	9866.449999999999	13414.150000000001	17704.42	12546.18	14373.039999999999	11516.68	14442.15	10287.180000000004	13290.65	9702.439999999999	19303.190000000002	15017.83	11111.560000000001	13286.73	14115.890000000001	17522.93	19278.15	17843.890000000003	9158.91	8121.97	7526.869999999999	5656.73	10974.14	8683.539999999999	11507.16	12602.96	11134.529999999999	11583.130000000001	9101.67	9335.889999999998	10361.23	10030.380000000001	8346.91	9768.83	8491.679999999998	9661.1	11558.070000000003
Lysine biosynthesis [PATH:ko00300]	571777.7900000003	442492.79999999993	456485.35000000003	497743.21999999986	548418.9100000004	438702.67000000004	552879.85	533750.5200000003	485316.26000000024	526430.0700000001	382635.8300000001	530811.5900000003	460778.94	576643.5800000003	543975.2400000001	514088.9200000003	470109.5500000001	363286.82999999984	542401.5100000001	397034.28000000014	575543.63	492118.9500000001	458584.91000000027	507166.6299999999	544573.2200000001	477989.73999999993	444708.0100000002	383272.5300000003	468775.69000000006	572575.3900000002	557202.9900000001	568730.8700000003	588538.9500000001	520338.45000000007	457245.0300000001	459615.1200000002	428922.45000000024	473525.23000000004	416279.07000000007	375335.50999999995	624584.76	450245.18	276263.55	495843.66000000027	646110.8800000002	573705.0199999999	446385.4700000001
Lysine degradation [PATH:ko00310]	111330.91	86867.43	97000.62000000001	108124.99000000002	110818.02000000002	99810.84000000001	119474.56999999998	113193.59000000004	96220.74	95308.76	96268.02000000003	108084.26	96646.81	115457.26	107694.53000000001	103943.10999999999	97763.12	74802.65	103600.97999999998	85701.13	115712.98000000001	97593.10000000005	90218.64000000003	106895.54000000001	101696.43	99245.51	92990.31000000003	84207.12	91677.45	103971.37000000002	108629.96999999999	118214.39999999997	119632.87999999999	104709.54999999999	92692.54000000001	96762.99	94159.09000000003	91668.48999999999	81719.70000000001	76623.65000000001	110668.23000000003	77203.29	54127.43000000001	85550.61000000002	108032.52	96549.81999999998	89155.62999999999
Lysosome [PATH:ko04142]	29417.699999999993	54472.92	119720.39	37874.92999999999	62246.45000000001	34228.57	46605.49	41664.89000000001	32642.97	38807.02	37404.31	67779.1	81870.25	49567.96	66435.31	31087.2	81640.53	47340.549999999996	45269.66	43806.14000000001	104953.28000000001	55573.02	44820.73999999999	74359.81999999999	73284.81	93490.65000000001	116903.99	127696.57000000002	51361.399999999994	43497.100000000006	40067.21	29187.18	56605.33	46400.74000000001	64908.399999999994	75503.77999999998	69604.45	52682.18	23777.78	37419.700000000004	33757.49	25754.700000000004	34218.33	37991.45	30123.47	35471.21	55383.01000000001
MAPK signaling pathway - fly [PATH:ko04013]	5687.28	8359.289999999999	15147.8	6753.79	11786.1	8294.91	9772.1	9751.74	7043.77	6555.6	9098.22	11049.04	15217.81	11860.66	12850.4	10513.86	11572.72	8529.480000000003	12092.41	8650.749999999998	16428.24	13848.1	9818.87	11487.85	11900.78	13583.589999999998	14629.910000000002	11654.010000000002	8380.76	7163.25	6539.1799999999985	4573.88	9376.1	8035.48	9394.92	9256.37	7980.899999999999	9082.03	7196.620000000001	7343.9699999999975	9385.99	6744.58	6467.35	8771.09	8133.399999999999	8998.01	9419.070000000003
MAPK signaling pathway - plant [PATH:ko04016]	38199.78000000002	28455.400000000005	30741.390000000003	32575.019999999997	32270.05000000001	29196.12000000001	34022.46	34193.00000000001	32358.950000000008	34420.37999999998	24342.41	34030.91000000002	30313.25	33666.98000000001	33930.45	33778.89	31581.750000000007	23241.97	33661.5	25234.12	34734.05000000001	29932.399999999994	28115.879999999997	32503.619999999995	36752.890000000014	32939.95	31738.1	31131.64	28193.940000000002	35774.22	36756.23	38599.31000000001	38382.4	32752.410000000003	30788.049999999996	35300.43000000001	34563.66	34419.31	33771.240000000005	27133.269999999997	38695.12999999999	33201.47	20998.51	31246.370000000003	39595.890000000014	37631.10000000001	31301.36
MAPK signaling pathway - yeast [PATH:ko04011]	911.72	1205.0099999999998	4146.319999999999	820.6399999999999	898.22	702.5099999999999	871.3	1008.24	935.89	682.0899999999998	768.23	2365.110000000001	2488.61	685.52	1526.64	1003.82	2869.43	1757.7	1199.24	1054.6899999999996	2877.95	1171.7299999999996	1294.6899999999996	1798.88	2215.11	3939.34	4648.24	6192.88	781.15	959.72	990.69	1083.85	1599.0399999999993	648.06	2112.24	3347.589999999999	3155.63	2502.0999999999995	1906.05	1991.92	975.24	3285.8	1879.56	998.74	361.28	665.09	2140.0000000000005
Malaria [PATH:ko05144]	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	2.0	7.0	9.0	8.0	3.0	6.0	5.0	0.0
Measles [PATH:ko05162]	802.5	471.7	715.4	936.6	604.2	494.3	525.3	560.0	462.4	458.0	395.4	352.3	261.2	413.3	371.2	622.5	392.1	400.7	459.6	349.8	317.6	258.3	361.4	447.0	469.4	665.7	408.8	304.5	164.6	620.6	714.8	1013.0	564.0	566.5	555.6	505.1	294.4	390.5	391.4	406.5	170.0	221.5	343.8	243.3	99.0	256.1	388.4
Meiosis - yeast [PATH:ko04113]	1589.33	948.67	755.0	837.33	872.83	1048.5	1153.0	1795.83	1619.5	641.17	978.5	756.6700000000002	506.0	1031.5	663.33	1563.83	595.67	522.8299999999999	716.17	573.33	690.33	684.83	728.8299999999997	1405.17	960.0	719.0	646.83	375.5	577.5	1350.83	1490.33	1936.0	1396.67	1014.83	955.0	428.33	326.5	1393.33	1882.67	2450.33	1288.0	3474.0	1256.33	444.5	606.5	631.33	848.17
Melanogenesis [PATH:ko04916]	4.0	3.0	2.5	1.0	14.5	5.0	2.0	0.5	0.0	0.0	0.0	0.0	11.0	1.5	0.0	0.5	0.5	0.5	0.0	0.0	9.5	1.0	3.0	1.0	1.5	1.0	0.0	0.0	9.0	2.0	3.0	0.0	0.5	0.0	0.0	0.5	8.5	1.0	1.0	1.5	0.5	0.0	0.0	0.0	6.0	2.0	3.0
Membrane trafficking [BR:ko04131]	198097.70000000004	156039.91999999998	154175.96000000002	171611.97000000003	189808.08000000005	145327.08000000002	186256.23999999996	178805.81000000006	169600.40000000002	186130.93999999997	128270.84000000001	171473.19000000003	164754.71999999997	186969.05000000008	179351.1300000001	167081.97000000003	154636.93000000002	129628.79999999997	182741.39000000004	133105.17	195531.49000000008	167938.60000000003	152465.89000000004	172237.62999999998	191193.39	168150.86000000004	153961.75000000006	137950.86000000004	158674.21	198915.1500000001	195166.36000000002	202079.22000000006	202176.47999999998	181036.01000000004	162832.35	158379.64999999997	148109.17000000004	156110.42	133007.23	125092.11999999997	199506.26	141934.13	90007.29	163047.78000000003	211141.93000000005	192845.87999999998	147266.45000000004
Messenger RNA biogenesis [BR:ko03019]	737266.2500000006	554405.17	523514.81000000006	645194.8700000001	637798.4900000003	550551.9	667307.1400000002	645863.3500000002	622137.6800000003	675808.3200000002	448509.15000000014	624858.9200000005	550232.22	668246.3700000002	643399.78	612823.7600000004	556808.67	444656.12	655617.7700000004	498406.73000000004	655429.6700000003	580447.84	549390.7700000003	592517.34	676327.26	582503.8300000001	530303.8500000003	487917.6300000002	561305.87	710586.3700000003	702521.9900000002	717190.2900000002	716105.0200000003	635220.14	565370.1300000002	617326.8100000002	594504.1600000001	604584.29	539002.3	456740.01	759790.79	551449.2099999998	344498.00000000006	642590.4700000001	820924.1200000003	733123.4099999998	584481.4900000003
Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	3700.03	5113.28	8353.52	4416.570000000001	3937.13	4684.99	3824.61	4403.62	3438.49	3345.4700000000003	3910.17	5203.11	4484.99	4085.9900000000007	4595.779999999999	4957.78	5405.410000000002	3983.0600000000004	4091.2799999999997	5306.66	5135.57	3505.7199999999993	4369.52	5734.57	4674.58	5870.279999999999	7501.360000000001	8975.44	4429.1	3155.51	3453.55	3797.05	3954.9900000000002	3034.3599999999997	5250.11	5819.45	5579.34	7121.879999999999	7549.12	6872.77	3584.83	8063.52	5428.36	3041.6400000000003	2339.41	3053.6499999999996	5404.26
Methane metabolism [PATH:ko00680]	761118.6400000004	571863.7400000001	526114.8700000002	652280.7900000002	670898.1600000004	536530.3900000001	689275.5199999999	669653.5100000002	643413.0900000002	689016.46	467138.7000000002	630380.8200000001	547953.5499999999	701590.2000000003	637063.59	614523.7500000002	557680.6300000001	455712.2499999998	674094.3800000001	501562.06	681855.9099999999	592798.1400000002	559155.4800000001	614753.6499999999	682474.9399999998	591570.3899999998	516275.55000000016	443079.97000000026	582864.0499999999	735010.1799999997	723182.0600000005	755456.4900000003	754863.32	668399.4999999999	581076.0299999999	587778.9400000001	551217.55	591378.42	538442.9499999996	488587.76000000007	786893.67	595016.5899999999	346025.5399999999	624061.5099999999	836161.17	732051.6199999996	563157.31
MicroRNAs in cancer [PATH:ko05206]	131170.79999999993	83699.13000000003	61797.44	108225.30999999995	88783.51000000001	78397.68000000001	99989.90999999996	96223.76999999999	104525.66	116426.29999999992	57466.80000000001	80490.0	68247.50999999997	94120.98999999996	84021.41	77397.91000000002	77884.95999999999	60435.25999999998	104405.07999999999	73551.19000000002	84930.30000000002	77991.84000000001	75531.66000000002	79865.79000000001	104404.57999999999	79190.79000000001	65893.05000000003	65808.17000000001	81113.29000000001	113886.29	114193.59999999995	124097.11999999991	112741.75	100370.54	87634.24	74596.08	61240.36000000004	68952.76000000001	55166.95	55836.60999999997	110186.58999999997	67634.43	35987.93000000002	92393.03999999996	141840.94999999998	116207.66000000006	71215.10000000003
Mineral absorption [PATH:ko04978]	36765.140000000014	24789.160000000003	21192.710000000003	30746.579999999998	30237.30000000001	27315.19000000001	32689.939999999995	31932.570000000014	29551.930000000008	32866.82999999999	22205.539999999997	29105.030000000013	25256.920000000002	32431.040000000015	30658.93	32291.309999999998	25572.800000000007	22005.48	32770.95	23698.600000000002	29256.40000000001	29015.319999999992	27610.239999999998	27993.439999999995	31223.690000000017	27788.49	21279.86	18038.739999999998	26541.510000000002	34101.36	35056.93	36928.02000000002	35265.15	31169.09	26212.899999999998	28359.29000000001	27891.65	29138.079999999998	29497.280000000002	24475.64	37074.19999999999	29085.02	17364.89	29222.960000000003	38903.20000000001	36147.49000000002	26906.87
Mismatch repair [PATH:ko03430]	766904.3600000006	575586.23	540051.7000000002	673149.2500000002	679199.8900000002	583900.9400000002	710060.3700000003	688239.5800000002	649414.2000000002	702376.0599999999	482574.81000000006	653181.1400000004	589800.4699999997	717531.9300000004	679217.3000000004	653845.5300000004	586605.55	475059.9699999998	702034.7599999999	531792.2400000001	688969.8500000002	626009.8200000001	591792.3400000002	621414.9499999998	698548.7099999998	612944.6500000001	545236.1500000003	486371.5300000002	597171.8700000001	736513.5500000002	727732.2000000002	745514.2100000004	743883.2600000002	668909.9800000003	583405.8100000003	611280.7300000001	578944.76	614113.7300000002	543042.3500000001	469318.1799999998	782283.3600000001	557836.6699999999	347612.25	651995.43	845965.1500000005	754890.1899999997	585539.9700000001
Mitochondrial biogenesis [BR:ko03029]	1185982.4900000007	889392.6299999995	806236.1900000001	1050115.28	1012501.5700000005	917167.3200000001	1080560.6700000004	1043724.9600000009	1008810.5400000002	1077912.6400000001	746003.3900000004	996268.8000000004	883754.7899999996	1069221.0000000005	1019409.0800000004	1008447.6200000002	877717.4100000003	718237.9999999998	1045662.7200000003	817686.4300000004	1003632.3200000003	934402.75	890201.2000000004	937204.8599999999	1066551.53	918193.16	826730.8800000004	760146.0300000001	910253.81	1129092.6300000008	1125322.9200000009	1156897.2699999998	1131019.46	1017378.6199999999	892731.3800000005	979650.9100000001	949222.2200000002	969648.4800000003	879102.95	724109.6699999998	1199057.23	876421.1899999998	550124.36	1020930.7100000003	1297057.5200000007	1167343.3799999997	932092.4700000004
Monobactam biosynthesis [PATH:ko00261]	204550.39000000013	164030.71	176966.66000000006	179858.97000000003	204530.85000000006	156927.69000000003	203138.45000000004	194472.0300000001	177448.22000000003	190916.18000000005	142133.42000000004	192107.9100000001	177990.15999999997	209139.2600000001	201852.05000000005	180255.31000000006	173731.90000000002	133689.24999999994	198521.22000000003	144625.73000000004	219817.18000000005	182486.23000000004	165693.71000000008	191265.10999999996	202835.51000000007	183983.34000000003	173000.8500000001	142929.0700000001	171721.81000000006	207936.7400000001	201072.12000000008	204692.30000000005	215378.5300000001	190408.22000000003	168757.16000000003	164575.93000000005	150995.59000000008	170822.04000000004	145596.82	139860.76999999996	221628.72000000003	163164.40999999997	102230.47	173257.68000000005	228232.34000000008	203321.68	157903.72000000003
Monoterpenoid biosynthesis [PATH:ko00902]	3.0	12.0	6.0	1.0	1.0	7.0	6.0	0.0	2.0	19.0	3.0	1.0	0.0	11.0	12.0	0.0	8.0	21.0	4.0	4.0	1.0	1.0	8.0	2.0	0.0	20.0	5.0	2.0	0.0	8.0	3.0	2.0	2.0	14.0	7.0	2.0	0.0	9.0	13.0	1.0	2.0	19.0	3.0	0.0	1.0	5.0	17.0
N-Glycan biosynthesis [PATH:ko00510]	59569.28000000002	35855.45	21413.43	45166.19000000001	34456.09000000001	26215.129999999997	38617.18	35634.26000000001	48493.82000000001	56318.49000000001	19112.299999999996	27586.539999999997	27226.32	33327.28999999999	28867.660000000007	27469.950000000004	27696.230000000003	25589.4	46145.67	28536.660000000007	32824.65000000001	32807.59	29220.840000000004	31494.929999999997	45826.729999999996	31659.21	24914.600000000002	21902.1	32196.090000000004	48937.90000000001	49622.49000000002	57153.04000000001	48619.18	43960.0	35739.6	27672.56	18041.929999999993	20176.96	14727.8	22215.32	43494.83	24222.159999999993	10600.77	35409.51000000001	64626.19000000002	53161.889999999985	23420.649999999998
NOD-like receptor signaling pathway [PATH:ko04621]	176754.26	124234.36000000002	98327.69000000002	155979.56000000003	144114.08000000007	128792.09000000001	155075.30000000002	151115.27000000005	143881.81000000003	159977.96999999997	99792.92000000003	130659.89000000006	115655.16999999998	149491.23000000004	138629.71000000005	132865.54000000004	117299.51000000004	96822.41999999998	149581.88	112151.64000000001	140000.20000000004	127192.46000000004	120620.95000000001	126201.55999999998	154022.55000000002	124095.87000000004	102767.24000000005	93260.54000000004	126185.66999999998	169870.79	166008.88	173581.42	166251.90000000002	151563.87	130513.10000000002	132488.5	127932.60000000003	137752.27000000005	123405.87	104580.24999999997	181720.61	132576.13999999998	77258.99	156577.24	200210.27000000002	171629.26	132453.45000000004
Naphthalene degradation [PATH:ko00626]	17230.690000000002	17130.239999999998	27694.510000000002	14717.95	27004.259999999995	15680.83	22191.12	22230.79	14984.939999999999	16552.340000000004	17336.28	26925.850000000002	23100.079999999998	29054.729999999996	26907.17	27170.11	23436.140000000003	14988.439999999995	24285.809999999998	15413.110000000002	32077.97	23871.33	22322.88	24258.82	21318.89	20999.839999999997	23415.670000000006	17830.270000000004	19234.79	20522.209999999995	18785.75	16652.18	23697.039999999997	19184.129999999997	18884.589999999997	14770.710000000001	11962.32	25382.219999999994	21698.47	24225.57	28402.33	29905.28	16991.12	18627.110000000004	21266.810000000005	20053.0	18323.11
Necroptosis [PATH:ko04217]	212399.82000000012	155600.9	138722.34000000003	184490.17000000004	181080.0900000001	150952.77000000002	188390.14999999997	182579.40000000005	176809.02000000002	193368.41999999995	124848.69	174900.65000000005	148004.67999999996	191332.87000000008	177076.37000000005	174144.01000000004	154508.28	127205.12999999998	187628.34000000005	140902.50000000003	177917.23000000004	163051.98000000007	156860.82000000004	165594.85	188213.68000000002	159109.81000000006	138450.34000000003	123796.73000000004	161560.87000000002	203691.35000000006	201841.75000000003	207616.19000000006	201918.91000000006	181792.79000000004	155676.54000000004	155023.5	144276.46000000002	158949.34999999998	135129.75	122417.69999999997	216503.33	148962.86	87712.23000000003	180156.22000000003	237908.88000000006	209378.06	153923.80000000002
Neomycin	49418.63000000003	40925.68	50061.01	40945.67000000001	53110.26000000002	38012.41	51553.61	49910.43000000002	43608.08	45549.47	35562.33	50771.49000000003	46729.55999999998	55281.60000000002	52853.18000000001	45416.15000000001	47131.68000000002	34700.679999999986	50170.91000000001	34951.040000000015	61270.70000000001	48185.71000000002	43220.860000000015	49945.40999999999	51145.13000000001	50538.7	46473.22000000002	39190.900000000016	42550.210000000014	50862.85	48796.04000000001	48622.97000000002	55479.15	47270.24000000001	43220.23999999998	43258.790000000015	39311.73000000002	44371.56000000003	35682.23	36858.93999999999	58266.60999999999	41984.200000000004	26416.67000000001	43788.070000000014	57449.22000000003	51507.5	41240.540000000015
Nicotinate and nicotinamide metabolism [PATH:ko00760]	375288.9400000001	304830.10000000003	299138.6000000001	340809.39999999997	353184.66000000027	313647.79999999993	373461.84000000014	361166.7000000002	331021.09000000014	342367.91	273392.4700000001	365058.49	319133.22999999986	383941.54000000015	363988.09000000014	354953.2600000002	310274.82000000007	255779.83	353825.18999999994	289831.6100000001	359749.1100000001	330760.3100000001	320229.9900000001	331068.05	357208.68000000005	325396.38000000006	298740.90000000014	259031.90000000002	326225.37	375790.0500000001	364232.98000000004	368234.0600000002	375543.1500000001	337893.0400000001	299152.19	343438.73000000004	338167.9000000001	360238.1900000001	322644.55	269836.5899999999	429476.2199999999	333898.31	209404.81	359543.70000000007	422525.52	388712.9099999999	335991.2600000002
Nitrogen metabolism [PATH:ko00910]	318730.3500000002	245419.27	236914.39000000004	283917.6600000001	292988.0700000001	228239.59999999998	295922.74999999994	289350.72000000015	271113.25000000006	291985.41000000003	203346.03	283132.44999999995	248784.29999999996	308214.2500000001	287548.6100000001	271849.72000000003	246473.22000000003	210549.42999999996	300739.3900000001	227733.65	302056.5700000001	268335.0800000001	254376.83000000005	271338.45	296880.27	273161.79000000004	231771.00000000003	193882.05000000008	258320.19999999998	315747.8100000001	309106.3500000001	314155.8	315551.2100000001	283292.3900000001	245532.9400000001	260608.73	248343.62000000002	271010.8600000001	239935.50999999998	217556.22999999998	344941.92	264163.28	156428.81000000003	284858.24000000005	359473.64999999997	321768.26999999996	254986.16
Nitrotoluene degradation [PATH:ko00633]	18340.620000000003	17608.089999999997	21320.809999999998	20619.600000000002	14865.15	15394.369999999999	18868.6	19802.130000000005	16222.32	15268.69	17254.5	20318.219999999994	17882.68	20546.91	16913.840000000004	17173.99	20710.969999999998	17542.190000000002	15349.19	18434.570000000003	24288.25	14963.66	18852.620000000003	18560.829999999994	18098.920000000002	29558.86	23399.330000000005	28116.69	17273.739999999998	17731.430000000004	18181.510000000002	21798.3	24235.689999999995	20680.940000000002	21510.17	57936.33	71734.91	34572.22	47055.81999999999	23931.02000000001	16556.68	27131.320000000003	22463.739999999998	17799.57	13049.17	15695.07	41035.59999999999
Non-alcoholic fatty liver disease [PATH:ko04932]	1219.6599999999999	845.0	1551.0	1321.6599999999999	959.5000000000001	1018.5	802.6599999999999	1231.5	668.4999999999999	643.5	848.4999999999999	578.0	445.99999999999994	696.1600000000001	650.6600000000001	1088.5	623.34	676.5	890.16	716.66	552.0000000000001	509.84000000000003	660.4999999999999	809.1600000000001	894.66	899.0000000000001	959.8399999999999	577.5	284.5	977.16	1068.0	1295.0	843.3399999999999	752.5	1064.0	797.0000000000001	504.49999999999994	680.66	687.66	716.0	308.65999999999997	401.0	714.0	405.16	183.5	492.6600000000001	760.4999999999999
Non-homologous end-joining [PATH:ko03450]	433.25000000000006	504.22	699.46	435.88	608.74	696.9199999999998	526.0600000000001	629.0999999999999	425.57	352.43	604.6800000000001	600.15	389.22	764.2600000000001	483.2399999999999	1089.18	442.72	320.17	573.04	358.6	454.86000000000007	569.0999999999999	498.32000000000005	829.86	399.14	609.81	507.1	420.5	271.03999999999996	351.95	353.96	455.91	434.52	400.52	589.7900000000002	720.04	564.96	1340.68	1484.41	1072.1900000000003	711.9300000000001	892.8	1265.7800000000002	461.94000000000005	509.3200000000001	584.72	915.74
Nonribosomal peptide structures [PATH:ko01054]	7450.73	5899.01	9818.75	6464.32	12828.4	6317.41	11977.6	11544.32	5861.51	6926.9400000000005	8324.57	9918.84	8352.83	12080.99	10316.15	7226.32	9617.03	5363.08	9225.93	5417.15	14021.73	9126.57	7605.41	11971.11	7762.75	7620.83	8560.82	4825.17	8586.92	9328.64	8768.91	9249.83	10771.03	10571.08	6973.5	3282.8999999999996	2128.08	7908.57	8065.280000000002	11115.28	10963.67	10875.71	5631.66	4497.42	6202.58	5758.08	4266.31
Notch signaling pathway [PATH:ko04330]	1.5	0.0	0.0	0.0	0.0	1.5	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.5	0.5	0.0	1.5	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	0.0	1.0	0.0	0.0	0.0	0.0	1.5	1.0	0.5	0.5	0.0	0.0	0.0	0.0	0.5	1.5
